v1,state,state_code,district,district_code,sex_ratio,wom_pop1549_2019,pw_registered_anc,live_births,ch_pop04_2019,insbirth,ch_lbw,lbw_n,ch_stunt,stunting_n,ch_waste,wasting_n,ch_wastesev,severewasting_n,ch_uweight,underweight_n,ch_over,overweight_n,ch_anemic,anemia_ch_n,v26,bmi_f_lowbmiout,womenunderweight_n,bmi_f_highbmi,womenover_n,hypertension_women,womenhypertension_n,diabetes_women,womendiabetes_n,hb_f_anemia,anemia_nonpreg_n,preg_anemia,anemia_preg_n,pregwom_2019,v40,take100_ifa_preg,ifa_180,iycf_earlybf35,iycf_exclbf0,n_iycf_cbf,n_iycf_introfood,n_iycf_minaccdiet0,n_iycf_mindd,n_iycf_minfreq,n_iycf_eff,n_iycf_swbvg,bottle,school10yr_women,wo2024_mar18,wom_pregmothers_1519,imp_latrine,imp_drinkw,safe_disp,bpl_card,hh_healthins,fp_sat,iod_salt,mcp_rec,anc_firsttri,anc4,anc_weigh,counsel_birth_prepare,flw_breastcouns,protect_tetanus,ifa_rec,deworm_preg,icds_thr_preg,inst_birth,jsy_rec1,ba_healthpro,mopostnat_2day_hp,chpostnat_2day_hp,icds_thr_lact,icds_hlthnut_lact,icds_hlthcheck_lact,full_immun1,chvita_6m1,ch_ironsupp1,ch_deworm1,icds_thr6_35_child,icds_weight_child,icds_weightcounse_child,ch_ors,ch_zinc,ari_treat,icds_preschool_child,icds_hlthcheck_child
1,Arunachal Pradesh,12,East Siang,251,1058.6,34154.5174,2254,2196,6630.751671,2147,,,24.62,1632,8.550000000000001,567,4.2,278,10.27,681,9.02,598,51.51,3068,6630.751671,6.79,2319,27.87,9519,29.69,10140,9.449999999999999,3228,35.28,12050,32.78,739,2254,34154.5174,11.41,6.59,49.37,,,,23.95,,,,,,55.56,14.91,4.59,83.89,97.27,,,30.5,,99.38,94.42,39.87,34.26,,,,75.22,78.09999999999999,19.4,,90.84,3.3,89.23,55.71,58.75,,,,48.81,67.27,,,,,,,,58,,
2,Arunachal Pradesh,12,Kra Daadi,650,976.12,,206,82,,34,,,28.8,,9.380000000000001,,5.69,,14.54,,20.17,,61.95,,,1.97,,29.82,,19.41,,4.06,,24.29,,1.97,4,206,,12.65,9.029999999999999,35.88,,,,14.56,,,,,,27.4,24.84,12.86,89.26000000000001,99.84,,,23.97,,99.16,97.69,62.45,18.27,,,,55.06,77.40000000000001,24.1,,73.54000000000001,3.8,80.95,34.9,37.33,,,,63.58,88.14,,,,,,,,,,
3,Arunachal Pradesh,12,Kurung Kumey,256,997.3,29528.95324,681,243,8670.923844999999,197,,,29.2,2532,15.06,1306,5.29,459,13.85,1201,5.77,500,62.39,4860,8670.923844999999,2.68,791,23.27,6871,19.22,5675,6.88,2032,35.5,10483,,,681,29528.95324,23.8,8.550000000000001,38.95,,,,18.73,,,,,,34.66,19.8,7.65,78.33,99.79000000000001,,,13.43,,99.65000000000001,97.04000000000001,45.24,44.11,,,,76.95,70.8,38.1,,69.16,11.8,69.70999999999999,62.34,61.08,,,,71.41,47.92,,,,,,,,,,
4,Arunachal Pradesh,12,Lohit,259,1001.05,45471.00247,1240,1075,12451.58188,1072,,,24.46,3046,12.71,1583,4.92,613,12.91,1607,7.61,948,52.48,5870,12451.58188,8,3638,30.93,14064,22.06,10031,9.460000000000001,4302,47.63,21658,33.22,412,1240,45471.00247,34.13,17.59,52.31,,,,20.81,,,,,,37.25,20,5.4,83.66,96.88,,,31.88,,97.92,96.93000000000001,66.87,39.61,,,,74.55,80.59999999999999,22.9,,90.23999999999999,23.7,92.3,66.22,66.17,,,,74.04000000000001,72.98,,,,,,,,,,
5,Arunachal Pradesh,12,Longding,651,926.46,,1089,666,,339,,,15.75,,20.61,,14.21,,13.77,,4.23,,38.37,,,4.04,,13.65,,20.5,,10.46,,35.03,,19.06,208,1089,,33.39,7.1,57.95,66.11,,,19.98,,,,,,27.7,7.88,2.2,83.45,62.47,,,23.81,,99.3,96.98,65.8,39.58,,,,78.43000000000001,70.7,25.6,,64.51000000000001,9.800000000000001,65.02,57.07,55.53,,,,52.68,54.22,,,,,,,,,,
6,Arunachal Pradesh,12,Namsai,652,982.16,,2520,1766,,1273,,,28.73,,12.36,,4.18,,17.7,,6.16,,59.15,,,12.76,,17.99,,27.11,,9.23,,58.79,,52.62,1326,2520,,33.55,8.93,47.35,62.79,,,21.16,,,,,,22.19,26.71,11.3,75.11,93.53,,,30.86,,99.13,94.56999999999999,61.6,35.37,,,,76.73,76.90000000000001,26.3,,63.6,15.5,68.81999999999999,51.21,52.04,,,,67.17,72.37,,,,,,,,50.06,,
7,Arunachal Pradesh,12,Siang,653,967.97,,306,115,,70,,,21.29,,12.13,,6.97,,8.82,,12.98,,24.91,,,6.49,,15.81,,24.36,,8.02,,24.35,,15.43,47,306,,21.53,5.71,51.36,,,,17.32,,,,,,50.58,9.949999999999999,.46,91.2,96.29000000000001,,,26.11,,98.91,97.13,50.83,31.13,,,,78.73,79.90000000000001,39.1,,81.09999999999999,1.2,82.7,56.02,55.42,,,,60.25,68.05,,,,,,,,,,
8,Arunachal Pradesh,12,Tirap,254,963.97,32274.57614,1100,630,10460.589,485,,,38.62,4040,13.77,1440,7.31,765,16.03,1677,11.71,1225,48.39,4547,10460.589,5.52,1782,28.29,9130,25.22,8140,8.369999999999999,2701,32.41,10460,24.09,265,1100,32274.57614,27.39,14.48,71.98999999999999,49.34,,,16.76,,,,,,40.2,12.04,4.04,86.67,93.81,,,30.84,,98.28,97.56,59.3,35.68,,,,73.93000000000001,77,33.4,,70.23999999999999,5.9,73.84999999999999,49.84,51.57,,,,66.33,72.76000000000001,,,,,,,,,,
9,Arunachal Pradesh,12,West Siang,250,1018.03,35931.31361,1916,1162,7560.547652,1143,,,24.49,1852,15.07,1139,8.1,612,16.23,1227,14.91,1127,45.58,3096,7560.547652,4.44,1595,27.39,9842,32.74,11764,9.119999999999999,3277,31.22,11218,16.78,322,1916,35931.31361,9.890000000000001,2.95,37.58,69.14,,,20.72,,,,,,46.29,18.89,4.71,87.73999999999999,99.06,,,26.56,,99.45,92.05,49.51,30.42,,,,72.01000000000001,79.3,25.4,,84.56999999999999,3.2,87.56,61.4,60.62,,,,55.4,64.48,,,,,,,,19.52,,
10,Assam,18,Biswanath,665,996.03,,,,,,,,42.72,,27.1,,13.73,,40.99,,3.29,,79.84,,,22.03,,10.57,,23.49,,8.140000000000001,,65.06999999999999,,45.11,,,,63.74,21.36,62.66,67.95,,,14.47,,,,,,23.01,25.26,8.99,76.62,76.19,,,68.34999999999999,,97.98,99.27,41.21,46.49,,,,94.62,96.40000000000001,16.3,,84.25,53.5,84.56,56.51,58.11,,,,66.2,61.39,,,,,,,,49.09,,
11,Assam,18,Charaideo,666,1027.15,,,,,,,,38.95,,23.54,,7.25,,34.75,,3.96,,69.66,,,24.7,,10.3,,18.19,,11.94,,72.59,,61.56,,,,51.74,19.38,58.25,,,,9.9,,,,,,26.16,22.59,3.83,75.93000000000001,96.40000000000001,,,64.90000000000001,,99.66,98.70999999999999,74.05,64.53,,,,95.91,94.3,9.4,,88.20999999999999,53.8,90.47,70.48999999999999,72.78,,,,73.97,57.97,,,,,,68.55,11.75,58.72,,
12,Assam,18,Dhubri,301,999.53,557319.0641,58457,46735,254162.4438,29020,,,48.51,123269,21.51,54645,6.68,17029,37.76,96073,6,15250,73.08,166899,254162.4438,22.16,123725,12.37,68940,18.22,101544,8.17,45533,63.04,351111,69.67,40745,58457,557319.0641,47.57,14.55,57.85,66.44,,,7.36,,,,,,20.43,50.78,22.39,61.81,96.7,,,59.38,,99.13,98.23999999999999,49.9,37.56,,,,96.97,86.8,13.2,,64.17,52.6,68.94,48.41,54.47,,,,71.64,50.55,,,,,,69.48,22.85,39.7,,
