#,state,state_code,ch_lbw,ch_stunt,ch_waste,ch_wastesev,ch_uweight,ch_over,ch_anemic,bmi_f_lowbmiout,bmi_f_highbmi,hypertension_women,diabetes_women,hb_f_anemia,preg_anemia,take100_IFA_preg,ifa_180,iycf_earlybf35,iycf_exclbf0,n_iycf_cbf,n_iycf_introfood,n_iycf_minaccdiet0,n_iycf_mindd,n_iycf_minfreq,n_iycf_eff,n_iycf_swbvg,bottle,school10yr_women,wo2024_mar18,wom_pregmothers_1519,imp_latrine,imp_drinkw,safe_disp,bpl_card,hh_healthins,fp_sat,iod_salt,mcp_rec,anc_firsttri,anc4,anc_weigh,counsel_birth_prepare,flw_breastcouns,protect_tetanus,IFA_rec,deworm_preg,icds_thr_preg,inst_birth,jsy_rec1,ba_healthpro,mopostnat_2day_hp,chpostnat_2day_hp,icds_thr_lact,icds_hlthnut_lact,icds_hlthcheck_lact,full_immun1,chvitA_6m1,ch_ironsupp1,ch_deworm1,icds_thr6_35_child,icds_weight_child,icds_weightcounse_child,ch_ors,ch_zinc,ari_treat,icds_preschool_child,icds_hlthcheck_child
1,Andaman and Nicobar Islands,35,,22.47,15.99,4.82,23.65,5.42,40.04,9.44,38.11,25.29,17.47,57.55,53.66,80.94,52.12,46.86,73.26,,,19.47,,,,,,52.47,16.21,3.01,87.97,96.32,,,1.55,,99.71,98.9,77.06,83.37,,,,90.8,,,,98.95,,97.32,88.89,90.97,,,,77.78,85.95,,,,,,64.96,44.05,72.68,,
2,Andhra Pradesh,28,,31.16,16.06,5.98,29.63,2.67,63.19,14.83,36.25,25.26,19.5,58.99,53.71,70.29,41.1,52.04,68.04,,50.77,9.31,,,,,,39.63,29.34,12.57,77.26,96.65,,,70.19,,83.1,96.53,81.73,67.46,,,,92.77,94.10,27.20,,96.51,24.40,96.1,90.69,92.32,,,,73.02,80.28,,,,,,62.48,41.8,70.24,,
3,Arunachal Pradesh,12,,27.98,13.08,6.51,15.41,9.65,56.56,5.69,23.87,24.88,8.39,40.82,27.86,23.8,8.6,52.01,63.43,,48.35,21.99,,,,,,39.36,18.88,6.03,82.88,93.71,,,29.31,,99.24,95.58,53.09,36.51,,,,76.92,77.50,27.60,,79.18,8.60,82.09,56.41,56.49,,,,64.87,69.74,,,,,,62.7,27.92,47.1,,
4,Assam,18,,35.29,21.73,9.05,32.78,4.85,68.38,17.64,15.16,19.1,12.8,66.35,54.21,47.47,18.51,49.09,63.56,,51.7,7.96,,,,,,29.57,31.82,11.73,68.55,86.04,,,59.99,,98.78,98.71,63.83,50.7,,,,94.52,92.40,14.50,,84.09,46.10,86.14,65.33,69.88,,,,66.44,58.18,,,,,,69.06,27.97,51.21,,
5,Bihar,10,,42.94,22.89,8.83,41.03,2.41,69.43,25.56,15.93,15.92,12.71,63.55,63.08,17.96,9.25,31.11,58.93,,39,10.91,,,,,,28.83,40.8,11.03,49.4,99.2,,,14.55,,93.28,89.54,52.94,25.15,,,,89.53,73.90,19.10,,76.2,42.10,78.95,57.28,59.3,,,,70.96,56.01,,,,,,58.21,25.56,69.35,,
6,Chandigarh,4,,25.3,8.41,2.34,20.56,1.85,54.58,13.01,44.02,25.03,18.95,60.09,,73.91,64.48,63.72,,,,18.97,,,,,,59.61,9.72,0.76,84.98,99.12,,,32.23,,96.81,97.24,82.34,78.74,,,,93.15,,,,96.87,,97.03,90.61,89.34,,,,80.93,72.57,,,,,,,,,,
7,Chhattisgarh,22,,34.6,18.88,7.54,31.33,3.98,67.24,23.08,14.11,23.58,9.01,61.17,51.79,44.94,26.29,32.24,80.35,,41.31,9.28,,,,,,36.89,12.04,3.06,76.76,95.54,,,71.35,,98.48,97.45,65.66,60.12,,,,91.93,93.30,48.60,,85.72,47.10,88.81,83.99,81.67,,,,79.74,84.52,,,,,,67.32,40,63.62,,
8,Dadra & Nagar Haveli and Daman & Diu,42,,39.42,21.59,4.28,38.7,1.85,75.8,25.07,26.84,14.91,13.6,62.58,60.66,59.76,36.19,25.93,79.36,,43.3,10.22,,,,,,35.75,26.41,4.26,65.76,95.37,,,51.99,,89.12,98.83,77.74,86.18,,,,84.61,,,,96.52,,97.79,91.59,90.95,,,,94.88,86.16,,,,,,,,90.65,,
9,Delhi,7,,30.87,11.24,4.85,21.82,4.04,69.17,10,41.32,24.13,12.24,50.15,42.18,69.08,48.96,51.19,64.26,,62.88,16.83,,,,,,59.73,9.87,3.28,81.12,99.44,,,25.02,,96.83,93.98,76.39,77.24,,,,93.39,93.70,30.00,,91.77,8.80,93.44,85.42,86.69,,,,75.99,52.92,,,,,,64.45,32.75,76.65,,
10,Goa,30,,25.77,19.12,7.54,24,2.76,53.2,13.83,36.09,27.47,20.82,38.9,40.99,87.49,65.02,61.63,61.37,,,21.54,,,,,,71.5,5.83,2.75,87.92,98.49,,,66.04,,97.6,99.8,70.32,93,,,,96.49,99.10,35.00,,99.73,7.20,99.11,95.4,96.69,,,,81.94,91.94,,,,,,,,86.56,,
