state,ch_stunt,ch_waste,ch_wastesev,ch_uweight,ch_anemic,bmi_f_lowbmiout,hb_f_anemia,preg_anemia,ch_over,bmi_f_highbmi,hypertension_women,diabetes_women,iycf_earlybf35,iycf_exclbf0,n_iycf_introfood,n_iycf_minaccdiet0,take100_IFA_preg,wo2024_mar18,wom_pregmothers_1519,imp_drinkw,imp_latrine,bpl_card,electric,fp_sat,iod_salt,anc_firsttri,anc4,mcp_rec,IFA_rec,protect_tetanus,deworm_preg,anc_weigh,flw_breastcouns,flw_preg_babywarm,flw_preg_cordcouns,icds_thr_preg,icds_hlthnut_preg,inst_birth,jsy_rec1,ba_healthpro,mopostnat_2day_hp,chpostnat_2day_hp,icds_thr_lact,icds_hlthnut_lact,full_immun1,chvitA_6m1,ch_ironsupp1,ch_deworm1,ari_treat,ch_ors,ch_zinc,icds_weight_child,icds_weightcounse_child,ch_diarr,ari_symp,school10yr_women,ifa_180,hh_healthins
Andaman And Nicobar Islands,23.27,18.94,7.51,21.55,49.04,13.13,65.76,61.42,2.96,31.79,,,41.85,66.83,45.14,14.15,58.39,16.43,4.66,95.03,75.35,,97.21,,99.3,68.38,92.05,97.69,,91.84,,,,,,,,96.37,,97.22,75.03,,,,73.24,75.99,,,75.79,64.99,8.34,,,5.31,1.47,52.47,52.12,1.55
Andhra Pradesh,31.4,17.16,4.53,31.85,58.61,17.61,60.2,52.93,1.23,33.2,,,40.03,70.23,56.06,7.64,56.13,32.95,11.82,95.64,54.42,,99.23,,81.6,82.33,76.28,92.56,,94.94,,,,,,,,91.51,,92.13,79.66,,,,65.25,79.27,,,77.33,47.57,30.12,,,6.55,0.53,39.63,41.1,70.19
Arunachal Pradesh,29.35,17.3,7.96,19.44,54.21,8.53,43.53,37.75,4.85,18.77,,,58.63,57,53.91,13.95,8.28,23.45,10.52,86.16,61.64,,88.25,,99.29,36.87,26.69,89.2,,63.92,,,,,,,,52.24,,53.7,28.8,,,,38.21,45.25,,,37.52,66.09,35.83,,,6.48,2.1,39.36,8.6,29.31
Assam,36.41,17.02,6.19,29.83,35.67,25.66,46.06,44.84,2.3,13.16,,,64.37,63.53,49.86,8.86,31.97,30.76,13.58,84.15,48.97,,78.33,,99.58,55.1,46.44,96.33,,89.82,,,,,,,,70.59,,74.26,54,,,,47.08,57.88,,,46.83,51.88,21.95,,,2.93,1.01,29.57,18.51,59.99
Bihar,48.32,20.82,6.96,43.85,63.46,30.43,60.43,58.31,1.19,11.65,,,34.89,53.43,30.75,7.5,9.7,42.46,12.16,98.44,26.51,,60,,93.58,34.56,14.38,79.88,,89.56,,,,,,,,63.81,,69.95,42.29,,,,61.69,63.32,,,59.84,45.23,20.12,,,10.39,2.53,28.83,9.25,14.55
Chandigarh,28.66,10.86,3.91,24.48,73.14,13.32,75.92,,1.11,41.45,,,33.52,,,0,44.9,12.66,2.06,100,83.65,,99.61,,99.01,67.36,64.5,97.95,,95.05,,,,,,,,91.64,,93.34,88.96,,,,79.53,56.05,,,,,,,,4.6,2.82,59.61,64.48,32.23
Chhattisgarh,37.61,23.07,8.37,37.7,41.55,26.66,47.28,41.53,2.9,11.92,,,47.07,77.2,53.93,10.94,30.3,21.33,4.79,91.34,34.81,,96.33,,99.13,70.84,59.09,91.36,,94.29,,,,,,,,70.21,,78.01,63.64,,,,76.38,76.71,,,70.11,67.89,28.94,,,9.13,2.19,36.89,26.29,71.35
Dadra & Nagar Haveli and Daman & Diu,37.15,26.73,11.49,35.8,82.04,23.44,73.35,62.28,3.88,23.25,,,50.03,67.89,19.63,2.06,42.26,26.82,8.47,94.81,44.39,,98.26,,80.82,66.88,71.85,89.82,,82.25,,,,,,,,88.54,,86.05,64.79,,,,50.46,67.18,,,77.5,84.89,12.94,,,4.1,1.54,35.75,36.19,51.99
Delhi,31.85,15.93,4.63,27,59.7,14.85,54.66,46.13,1.22,33.47,,,28,49.59,35.35,5.21,53.78,14.28,2.12,99.79,75.05,,99.79,,98.51,62.97,67.94,86.64,,90.62,,,,,,,,84.38,,86.58,62.34,,,,68.79,61.41,,,81.44,62.09,25.27,,,9.64,2.37,59.73,48.96,25.02
Goa,20.07,21.89,9.52,23.83,48.33,14.66,31.36,26.67,3.7,33.45,,,73.27,60.87,,10.39,67.44,9.78,2.94,96.72,78.74,,99.82,,95.73,84.38,88.96,96.29,,96.23,,,,,,,,96.87,,97.5,92.07,,,,88.44,91.79,,,88.97,,,,,3.76,1.43,71.5,65.02,66.04
